id,word,symbol,class,meaning,example,level
447,foresee,/fɔːˈsiː/,,v. 预见,No one can foresee what will happen to us in the future life.（2024 上海中考模拟）,50+
448,attractive,/əˈtræktɪv/,,adj. 有吸引力的,The beautiful flowers in the park are very attractive to the little kids.（2021 上海中考）,50+
449,criminal,/ˈkrɪmɪn(ə)l/,,n. 罪犯；犯罪,The police caught the criminal who stole things in the community.（2024 上海中考模拟）,50+
450,forgive,/fəˈɡɪv/,,v. 原谅,We should forgive our friends' small mistakes and be kind to them.（2022 上海中考）,50+
451,gymnastics,/dʒɪmˈnæstɪks,,/n. 体操,She likes to practice gymnastics in the gym after school every day.（2023 上海中考）,50+
452,intend,/ɪnˈtend/,,v. 意欲；打算,I intend to go to the library to read books this Sunday morning.（2024 上海中考）,50+
453,mess,/mes/,,n. 凌乱v. 弄脏,Don't make a mess in the classroom; we should keep it tidy.（2021 上海中考）,50+
454,outstanding,/aʊtˈstændɪŋ/,,adj.突出的;显著的;出色的,He is an outstanding student and wins prizes in many competitions.（2022 上海中考）,50+
455,permission,/pəˈmɪʃ(ə)n/,,n. 许可,You need to ask for the teacher's permission before you leave the classroom.（2023 上海中考）,50+
456,register,/ˈredʒɪstə(r)/,,v. 登记；注册,You must register your name before you take part in the competition.（2024 上海中考模拟）,50+
457,separate,/ˈseprət/,,v.分开;分手adj.单独的;分开的,We should separate the waste into different kinds for recycling.（2021 上海中考）,50+
458,thunder,/ˈθʌndə(r)/,,n. 雷,We heard the loud thunder before the heavy rain came yesterday.（2022 上海中考）,50+
459,wonder,/ˈwʌndə(r)/,,n. 奇迹；奇观v.想知道,I wonder how he can finish the difficult work in such a short time.（2023 上海中考）,50+
460,sweep,/swiːp/,,v. 扫除；扫视,The cleaners sweep the streets early in the morning every day.（2021 上海中考）,50+
461,acquisition,/ˌækwɪˈzɪʃ(ə)n/,,n. 获得；习得,The acquisition of knowledge needs our hard work every day.（2024 上海中考模拟）,50+
462,boundary,/ˈbaʊndri/,,n. 边界；球场,A small river forms the boundary between the two villages.（2024 上海中考模拟）,50+
463,cheer,/tʃɪə(r)/,,v. 欢呼n. 欢呼声,We all cheer for our classmates in the basketball match loudly.（2022 上海中考）,50+
464,destination,/ˌdestɪˈneɪʃn/,,n. 目的地,We will arrive at our destination by high-speed rail in two hours.（2023 上海中考）,50+
465,enthusiastic,/ɪnˌθjuːziˈæstɪk/,,adj. 热心的；热情的,He is an enthusiastic boy and always takes part in school activities.（2024 上海中考）,50+
466,form,/fɔːm/,,n.形状；表格v.形成,You need to fill in the form with your name and student number first.（2021 上海中考）,50+
467,international,/ˌɪntəˈnæʃ(ə)nəl/,,adj. 国际的,This is an international competition and students from many countries join it.（2022 上海中考）,50+
468,attract,/əˈtrækt/,,v. 吸引,The beautiful music can attract a lot of people in the street.（2023 上海中考）,50+
469,crew,/kruː/,,n. 全体工作人员,The crew of the ship work hard to keep the ship sailing safely.（2024 上海中考模拟）,50+
470,serious,/ˈsɪəriəs/,,adj. 严肃的;严重的;认真的,You must be serious about your study if you want to get good grades.（2021 上海中考）,50+
471,metal,/ˈmetl/,,n. 金属,This kind of metal is very hard and can be made into many things.（2022 上海中考模拟）,50+
472,overcome,/ˌəʊvəˈkʌm/,,v. 战胜；克服,We can overcome all the difficulties if we work together as a team.（2023 上海中考）,50+
473,permit,/pəˈmɪt/,,v. 准许,Schools do not permit students to play computer games during class time.（2024 上海中考）,50+
474,regret,/rɪˈɡret/,,v. 后悔；遗憾,He felt great regret because he didn't study hard for the exam.（2021 上海中考）,50+
475,tight,/taɪt/,,adj. 紧的；紧紧的,The little girl tied the rope tight to prevent the box from falling.（2022 上海中考）,50+
476,worldwide,/ˌwɜːldˈwaɪd/,,adj. 遍及全球的,The famous singer is known to people worldwide.（2024 上海中考模拟）,50+
477,addicted,/əˈdɪktɪd/,,adj. 上瘾；沉溺于,Don't get addicted to playing mobile games; it's bad for your study.（2023 上海中考）,50+
478,swear,/sweə(r)/,,v. 发誓；诅咒,He swore to his parents that he would study hard from now on.（2024 上海中考模拟）,50+
479,psychology,/saɪˈkɒlədʒi,,/n. 心理学,We learned some basic knowledge of psychology in our health class.（2024 上海中考模拟）,50+
480,attitude,/ˈætɪtjuːd/,,n. 态度,A good attitude is very important when we face difficulties in study.（2021 上海中考）,50+
481,bowling,/ˈbəʊlɪŋ/,,n. 保龄球运动,He and his friends like to play bowling in their spare time on weekends.（2024 上海中考模拟）,50+
482,chew,/tʃuː/,,v. 咀嚼,You should chew the food slowly to help your stomach digest it well.（2022 上海中考）,50+
483,destroy,/dɪˈstrɔɪ/,,v. 毁坏；毁灭,The heavy rain didn't destroy the small house in the village at all.（2023 上海中考）,50+
484,entire,/ɪnˈtaɪə(r)/,,adj. 整个的,The entire class went to the park for a spring outing last week.（2024 上海中考）,50+
485,fortunate,/ˈfɔːtʃənət/,,adj. 幸运的,She is fortunate to pass the English exam with a high score this time.（2021 上海中考）,50+
486,interrupt,/ˌɪntəˈrʌpt/,,v. 打断,Don't interrupt the teacher when he or she is speaking in class.（2022 上海中考）,50+
487,mild,/maɪld/,,adj.温和的;轻微的;味淡的,The weather is mild in spring and it's perfect for going out for a walk.（2023 上海中考）,50+
488,overlook,/ˌəʊvəˈlʊk/,,v. 忽视,We should not overlook the small details when we do our homework.（2024 上海中考模拟）,50+
489,credit,/ˈkredɪt/,,n. 信用,He got a lot of credit for his hard work in the school project.（2024 上海中考模拟）,50+
490,persuade,/pəˈsweɪd/,,v. 说服,I try to persuade him to join our English study group after school.（2021 上海中考）,50+
491,adequate,/ˈædɪkwət/,,adj. 足够的；适当的,We have adequate time to finish the work before the deadline today.（2022 上海中考）,50+
492,serve,/sɜːv/,,v. 为……服务；服兵役；上菜,He wants to serve the people as a doctor when he grows up.（2023 上海中考）,50+
493,tip,/tɪp/,,n. 末端；建议；小费,Can you give me a tip on how to learn English grammar well?（2024 上海中考模拟）,50+
494,worn,/wɔːn/,,adj. 用旧的；用坏的,His shoes are worn out and he needs to buy a new pair for school.（2024 上海中考模拟）,50+
495,brand,/brænd/,,n. 商标；牌子,This brand of milk is very popular among the students in our school.（2021 上海中考）,50+
496,attention,/əˈtenʃ(ə)n/,,n. 注意；注意力,You need to pay attention to your pronunciation when speaking English.（2022 上海中考）,50+
497,regular,/ˈreɡjələ(r)/,,adj. 有规律的；定期的,He keeps a regular habit of getting up early and doing exercise.（2023 上海中考）,50+
498,provide,/prəˈvaɪd/,,v. 提供,The school will provide all the students with free textbooks every term.（2024 上海中考）,50+
499,swallow,/ˈswɒləʊ/,,n. 燕子v.吞咽;抑制,You should swallow the medicine with a glass of warm water.（2021 上海中考模拟）,50+
500,choose,/tʃuːz/,,v. 选择,You can choose any color you like for your new schoolbag.（2022 上海中考）,50+
501,detective,/dɪˈtektɪv/,,n. 侦探,He dreams of becoming a detective to solve many interesting cases.（2024 上海中考模拟）,50+
502,entrance,/ˈentrəns/,,n. 入口,We entered the park through the north entrance yesterday afternoon.（2023 上海中考）,50+
503,fortune,/ˈfɔːtʃuːn/,,n. 运气；财富,He had a good fortune to win the first prize in the lucky draw.（2024 上海中考模拟）,50+
504,creature,/ˈkriːtʃə(r)/,,n. 生物,There are many lovely creatures living in the deep forest.（2021 上海中考）,50+
505,interview,/ˈɪntəvjuː/,,v. 接见；采访,A reporter came to our school to interview our head teacher today.（2022 上海中考）,50+
506,mind,/maɪnd/,,v. 介意；关心；留意,You need to make up your mind to learn English well from now on.（2023 上海中考）,50+
507,overweight,/ˌəʊvəˈweɪt/,,adj. 超重的,Eating too much junk food will make you overweight and unhealthy.（2024 上海中考）,50+
508,petrol,/ˈpetrəl/,,n. 汽油,My father filled his car with petrol before he went on a trip.（2021 上海中考模拟）,50+
509,collection,/kəˈlekʃn/,,n. 收藏品,She has a large collection of beautiful stamps from all over the world.（2024 上海中考模拟）,50+
510,prove,/pruːv/,,v. 证明,You need to prove that you are right with enough facts and evidence.（2022 上海中考）,50+
511,request,/rɪˈkwest/,,n. & v. 要求；请求,He made a request to the teacher for more time to finish the homework.（2023 上海中考）,50+
512,service,/ˈsɜːvɪs/,,n. 服务；任职,The service in this restaurant is very good and people like to go there.（2024 上海中考）,50+
513,tiresome,/ˈtaɪəsəm/,,adj.令人厌倦的;讨厌的,It is tiresome to do the same work every day without any change.（2024 上海中考模拟）,50+
514,worthwhile,/ˌwɜːθˈwaɪl/,,adj. 值得做的,It is worthwhile to spend time learning English well for our future.（2021 上海中考）,50+
515,postpone,/pəˈspəʊn/,,v. 推迟；延期,We have to postpone the sports meeting because of the bad weather.（2022 上海中考）,50+
516,suspect,/səˈspekt/,,v. 推测；怀疑,The police suspect that he is the man who stole the bike in the street.（2024 上海中考模拟）,50+
517,adjustment,/əˈdʒʌstmənt,,/n. 调整,We need to make an adjustment to our study plan for the new term.（2024 上海中考模拟）,50+
518,breakthrough,/ˈbreɪkθruː,,/n. 重大进展，突破,Scientists made a great breakthrough in the research of new medicine.（2023 上海中考）,50+
519,social,/ˈsəʊʃ(ə)l/,,adj. 社会的；社交的,We should take part in more social activities to make more friends.（2024 上海中考）,50+
520,apparent,/əˈpærənt/,,adj.明显的;表面上的,It is apparent that he has made great progress in his English study.（2021 上海中考）,50+
521,circus,/ˈsɜːkəs/,,n. 马戏团,We went to the circus to watch the wonderful shows last weekend.（2022 上海中考模拟）,50+
522,determine,/dɪˈtɜːmɪn/,,v. 决定；下决心,We determine to finish reading five books this semester at school.（2023 上海中考）,50+
523,environment,/ɪnˈvaɪrənmənt/,,n. 环境,We should protect the natural environment around us every single day.（2024 上海中考）,50+
524,commit,/kəˈmɪt/,,v. 犯（罪）；做（案）,He is ready to commit himself to the study of English for the exam.（2024 上海中考模拟）,50+
525,forward,/ˈfɔːwəd/,,adv. 向前,Please move forward and let the old people sit down on the bus.（2021 上海中考）,50+
526,introduction,/ˌɪntrəˈdʌkʃn/,,n. 介绍；引进；采用,The teacher gave a brief introduction to the new English book today.（2022 上海中考）,50+
527,mineral,/ˈmɪnərəl/,,n. 矿物质,We learned about different kinds of mineral in our geography class.（2024 上海中考模拟）,50+
528,crash,/kræʃ/,,v. 撞坏；坠落,"A car crash happened on the road, but luckily no one got hurt.（2023 上海中考）",50+
529,attempt,/əˈtempt/,,v. 试图；尝试,"He made an attempt to climb the mountain, but he failed because of the rain.（2024 上海中考）",50+
530,phrase,/freɪz/,,n. 短语,Can you tell me the meaning of this English phrase in Chinese?（2021 上海中考）,50+
531,ownership,/ˈəʊnəʃɪp/,,n. 所有权,We need to prove the ownership of the house with the right papers.（2024 上海中考模拟）,50+
532,settle,/ˈset(ə)l/,,v. 安家；使定居；解决,We hope to settle the small problem with our classmates peacefully.（2022 上海中考）,50+
533,require,/rɪˈkwaɪə(r)/,,v. 需要；要求,This job will require a lot of time and hard work from you every day.（2023 上海中考）,50+
534,potential,/pəˈtenʃ(ə)l/,,n. 潜力adj. 潜在的,Every student has the potential to be successful if they work hard.（2024 上海中考）,50+
535,society,/səˈsaɪəti/,,n. 社会,We should live in harmony with everyone in the society around us.（2021 上海中考）,50+
536,title,/ˈtaɪt(ə)l/,,n. 头衔；标题,He won the title of the best student in our class this semester.（2022 上海中考）,50+
537,wound,/wuːnd/,,n. 创伤；伤口,He got a deep wound on his arm when he played basketball yesterday.（2023 上海中考模拟）,50+
538,proper,/ˈprɒpə(r)/,,adj. 适当的,You need to put the book in the proper place on the shelf after reading.（2024 上海中考）,50+
539,survive,/səˈvaɪv/,,"v.幸存,存活;幸免于难；比…活得长",Few plants can survive in the cold winter in the northern part of China.（2021 上海中考）,50+
540,administration,/ədˌmɪnɪˈstreɪʃ(ə)n/,,n.行政管理,The school administration is in charge of all the school work.（2024 上海中考模拟）,50+
541,breathe,/briːð/,,v. 呼吸,We need to breathe fresh air every day to keep our body healthy.（2022 上海中考）,50+
542,citizen,/ˈsɪtɪz(ə)n/,,n. 公民,Every citizen has the duty to protect the environment of our country.（2023 上海中考）,50+
543,develop,/dɪˈveləp/,,v. 发展；开发；培养,Children develop very quickly when they are in their early years.（2024 上海中考）,50+
544,envy,/ˈenvi/,,v. 嫉妒,Don't envy others' success; you can make it with your own hard work.（2021 上海中考）,50+
545,commitment,/kəˈmɪtmənt,,/n. 承诺；投入,We need to keep our commitment to the things we promise to do.（2024 上海中考模拟）,50+
546,fountain,/ˈfaʊntən/,,n. 喷泉,There is a beautiful fountain in the center of our community park.（2022 上海中考模拟）,50+
547,invent,/ɪnˈvent/,,v. 发明；创造,Edison invented many useful things that change the world a lot.（2023 上海中考模拟）,50+
548,attain,/əˈteɪn/,,v. 达到；获得,We can attain our goals if we keep working hard every single day.（2024 上海中考）,50+
549,cousin,/ˈkʌzn/,,n.（堂、表）兄弟姐妹,My cousin will come to Shanghai to visit our family this summer vacation.（2021 上海中考）,50+
550,physical,/ˈfɪzɪk(ə)l/,,adj. 身体的；物理的,We need to do more physical exercise to keep our body strong.（2022 上海中考）,50+
551,surround,/səˈraʊnd/,,v. 包围；环绕,Tall trees surround the small house and make it very quiet.（2023 上海中考）,50+
552,oxygen,/ˈɒksɪdʒən/,,n. 氧气,Plants need oxygen to grow well just like human beings do.（2024 上海中考模拟）,50+
553,minister,/ˈmɪnɪstə(r)/,,n. 部长；大使,The minister came to our city to visit the local people last week.（2024 上海中考模拟）,50+
554,power,/ˈpaʊə(r)/,,n. 力量;动力;电力;权力,Wind power is a kind of clean energy that we can use more.（2021 上海中考）,50+
555,solar,/ˈsəʊlə(r)/,,adj. 太阳的,We can use solar energy to heat water and save electricity.（2022 上海中考）,50+
556,rescue,/ˈreskjuː/,,n. & v. 营救，救援,The firefighters came to rescue the people in the burning building.（2023 上海中考）,50+
557,tolerate,/ˈtɒləreɪt/,,v. 容忍；忍受,We should tolerate the small mistakes of our friends and be understanding.（2024 上海中考）,50+
558,pronounce,/prəˈnaʊns/,,v. 发音；拼读,You need to pronounce the English words correctly when you speak.（2021 上海中考）,50+
559,severe,/sɪˈvɪə(r)/,,adj. 严重的,He had a severe cold and had to stay at home for a whole week.（2022 上海中考）,50+
560,admirable,/ˈædmərəb(ə)l/,,adj. 令人钦佩的,His admirable behavior won the respect of all his classmates and teachers.（2023 上海中考）,50+
561,bridegroom,/ˈbraɪdɡruːm,,/n. 新郎,The bridegroom looked very happy on his wedding day with the bride.（2024 上海中考模拟）,50+
562,circumstance,/ˈsɜːkəmstəns/,,n. 情况；形势,We need to change our plan according to the different circumstance.（2024 上海中考模拟）,50+
563,devote,/dɪˈvəʊt/,,v. 献身；致力于……,He is willing to devote his time to helping his classmates with study.（2021 上海中考）,50+
564,appearance,/əˈpɪərəns/,,n. 出现；外貌；外观,Don't judge a person only by his or her appearance in daily life.（2022 上海中考）,50+
565,command,/kəˈmɑːnd/,,v. 命令n. 统帅,The teacher has the right to command the students in the classroom.（2024 上海中考模拟）,50+
566,equal,/ˈiːkwəl/,,v. 等于adj. 平等的,Everyone is equal and we should respect each other at all times.（2023 上海中考）,50+
567,fragile,/ˈfrædʒaɪl/,,adj.易碎的；易受伤害的,The glass is very fragile and you need to hold it carefully.（2024 上海中考）,50+
568,attack,/əˈtæk/,,v. 攻击；抨击；侵袭,The soldiers will attack to protect our motherland when it is in danger.（2021 上海中考模拟）,50+
569,court,/kɔːt/,,n. 法庭；宫廷,They went to the court to solve the problem in a legal way.（2024 上海中考模拟）,50+
570,physicist,/ˈfɪzɪsɪst/,,n. 物理学家,His uncle works as a physicist in a famous scientific research institute.（2022 上海中考模拟）,50+
571,shade,/ʃeɪd/,,n. 树荫,We sat in the shade of the big tree to avoid the hot sun yesterday.（2023 上海中考）,50+
572,irrigation,/ˌɪrɪˈɡeɪʃn/,,n. 灌溉,Farmers use irrigation to water the crops when there is little rain.（2024 上海中考模拟）,50+
573,minority,/maɪˈnɒrəti/,,n. 少数,The minority of the students in our class don't like to play sports.（2024 上海中考模拟）,50+
574,practical,/ˈpræktɪkl/,,adj.实际的;可行的;实用的,We should learn some practical skills to help us in our daily life.（2021 上海中考）,50+
575,solid,/ˈsɒlɪd/,,n. 固体,The ice on the lake is solid enough for us to walk on it safely.（2022 上海中考）,50+
576,research,/rɪˈsɜːtʃ/,,n. & v. 调查；研究,We did a lot of research on the topic in our science class this term.（2023 上海中考）,50+
577,topic,/ˈtɒpɪk/,,n. 题目；话题,What is your favorite topic to talk about with your friends?（2024 上海中考）,50+
578,promote,/prəˈməʊt/,,v. 促进;提升;促销;升职,The school hopes to promote the students' reading ability this term.（2021 上海中考）,50+
579,surface,/ˈsɜːfɪs/,,n. 表面,The surface of the lake is very calm and smooth in the early morning.（2022 上海中考）,50+
580,admit,/ədˈmɪt/,,v. 允许（进入）；承认,He had to admit that he made a mistake in the English exam this time.（2023 上海中考）,40+
581,civilization,/ˌsɪvəlaɪˈzeɪʃ(ə)n/,,n. 文明,Chinese civilization has a long history of more than five thousand years.（2024 上海中考）,40+
582,brilliant,/ˈbrɪliənt/,,adj.卓越的;杰出的;才华横溢的,She is a brilliant student and all the teachers like her very much.（2021 上海中考）,40+
583,devotion,/dɪˈvəʊʃn/,,n. 奉献,His devotion to his study makes him one of the top students in our class.（2022 上海中考）,40+
584,appetite,/ˈæpɪtaɪt/,,n. 胃口；食欲；欲望,He has a good appetite and eats a lot of food every meal.（2023 上海中考模拟）,40+
585,comfortable,/ˈkʌmfətəbl,,/adj. 舒服的；舒适的,We feel comfortable when we stay in the warm room in winter.（2024 上海中考）,40+
586,equipment,/ɪˈkwɪpmənt/,,n. 装备；设备,The school bought a lot of new equipment for our science lab.（2021 上海中考）,40+
587,freeze,/friːz/,,v. 结冰;(因恐惧等)呆立不动呆住,The water in the lake will freeze when the temperature is below zero.（2022 上海中考）,40+
588,attach,/əˈtætʃ/,,v. 缚上;系上;（使）附属,Please attach your photo to the form before you hand it in.（2023 上海中考）,40+
589,courage,/ˈkʌrɪdʒ/,,n. 胆量；勇气,It takes a lot of courage to speak in front of a big crowd of people.（2024 上海中考）,40+
590,picnic,/ˈpɪknɪk/,,n. 野餐,We will have a picnic in the park if the weather is fine this Sunday.（2021 上海中考）,40+
591,shadow,/ˈʃædəʊ/,,n. 影子；阴影,The tree casts a long shadow on the ground in the afternoon sun.（2022 上海中考）,40+
592,miss,/mɪs/,,v. 错过；想念,I miss my grandparents very much when I study in Shanghai alone.（2023 上海中考）,40+
593,resemble,/rɪˈzemb(ə)l/,,v. 类似；像,She doesn't resemble her mother at all; she looks like her father.（2024 上海中考模拟）,40+
594,practice,/ˈpræktɪs/,,n. 练习；惯例；实践,"Practice makes perfect, so we need to speak English every day.（2021 上海中考）",40+
595,sorrow,/ˈsɒrəʊ/,,n. 悲伤；悲痛,She felt great sorrow when she heard the sad news about her friend.（2022 上海中考模拟）,40+
596,total,/ˈtəʊt(ə)l/,,adj. 总的；全部的,The total number of students in our school is more than two thousand.（2023 上海中考）,40+
597,advance,/ədˈvɑːns/,,n. 提前v. 前进,We need to advance our study plan to finish it before the holiday.（2024 上海中考模拟）,40+
598,promise,/ˈprɒmɪs/,,n.&v.保证;承诺;诺言;期望,You should keep the promise you make to your friends and family.（2021 上海中考）,40+
599,suppose,/səˈpəʊz/,,v. 猜想；假设,I suppose he will come to the party because he promised me yesterday.（2022 上海中考）,40+
600,advantage,/ədˈvɑːntɪdʒ/,,n. 优势,Reading English every day has an advantage for our English study.（2023 上海中考）,40+
601,clarity,/ˈklærəti/,,n. 澄清,You need to express your ideas with clarity in the English speaking exam.（2024 上海中考）,40+
602,broadcast,/ˈbrɔːdkɑːst/,,v. 广播,The school will broadcast the notice of the sports meeting on the radio.（2022 上海中考）,40+
603,dial,/ˈdaɪəl/,,v. 拨（号）,Please dial this number if you need any help with your study.（2021 上海中考）,40+
604,applaud,/əˈplɔːd/,,v. 鼓掌,All the students stood up to applaud for the teacher's wonderful lecture.（2023 上海中考）,40+
605,communicate,/kəˈmjuːnɪkeɪt/,,v.交流；传达；交往,We can communicate with each other in English to improve our spoken skills.（2024 上海中考模拟）,40+
606,escape,/ɪˈskeɪp/,,v. 逃跑；逃离,The little bird tried to escape from the cage and fly back to the sky.（2021 上海中考）,40+
607,frequent,/ˈfriːkwənt/,,adj. 频繁的,Frequent reading can help us build up a good vocabulary in English.（2022 上海中考）,40+
608,atmosphere,/ˈætməsfɪə(r)/,,n. 大气层；气氛,The warm atmosphere in the classroom makes us feel like a big family.（2023 上海中考）,40+
609,couple,/ˈkʌp(ə)l/,,n. 夫妇；对；双,A young couple walked hand in hand in the park at sunset yesterday.（2024 上海中考模拟）,40+
610,pink,/pɪŋk/,,n. & adj. 粉色（的）,Her little sister likes to wear pink dresses very much in spring.（2021 上海中考模拟）,40+
611,shake,/ʃeɪk/,,v. 摇动；震动,We shake hands with each other to show our friendship at the first meeting.（2022 上海中考）,40+
612,mixture,/ˈmɪkstʃə(r)/,,n. 混合；混合物,This drink is a mixture of milk and fruit juice and tastes very sweet.（2023 上海中考模拟）,40+
613,reservation,/ˌrezəˈveɪʃn/,,n. 保留；预订；保护区,You need to make a reservation before you go to the popular restaurant.（2024 上海中考）,40+
614,praise,/preɪz/,,n. & v. 表扬；赞颂,Our teacher always praises us when we make progress in our study.（2021 上海中考）,40+
615,spare,/speə(r)/,,adj. 空闲的v. 抽出,Do you have any spare time to help me with my English homework after school?（2022 上海中考）,40+
616,track,/træk/,,n. 轨迹v. 跟踪,We can follow the track to find the way to the small village in the mountain.（2024 上海中考模拟）,40+
617,adventure,/ədˈventʃə(r)/,,n. 冒险,He dreams of going on an adventure to the forest with his best friends.（2023 上海中考模拟）,40+
618,project,/ˈprɒdʒekt/,,n. 项目；计划；工程,We will finish the school project with our group members next week.（2024 上海中考）,40+
619,support,/səˈpɔːt/,,n. & v. 支持；拥护,My parents always support me when I make important decisions in life.（2021 上海中考）,40+
620,advertise,/ˈædvətaɪz/,,v. 为……做广告,Companies often advertise their products on TV to attract more customers.（2022 上海中考）,40+
621,claw,/klɔː/,,n. 爪子,The cat used its sharp claw to catch the small mouse in the corner.（2024 上海中考模拟）,40+
622,budget,/ˈbʌdʒɪt/,,n.预算v.编预算，作安排,We need to make a budget before we go on a trip to another city.（2023 上海中考）,40+
623,differ,/ˈdɪfə(r)/,,v. 相异；不同于,My opinion on this matter differs a lot from that of my deskmate.（2024 上海中考）,40+
624,applicant,/ˈæplɪkənt/,,n. 申请人,Each applicant must fill in the form before taking part in the interview.（2024 上海中考模拟）,40+
625,companion,/kəmˈpænjən/,,n. 同伴；伙伴,A good friend is a loyal companion who will stay with you through hard times.（2021 上海中考）,40+
626,evaluate,/ɪˈvæljueɪt/,,v. 评价；估量；估价,The teacher will evaluate our study results at the end of every semester.（2022 上海中考）,40+
627,friction,/ˈfrɪkʃ(ə)n/,,n. 摩擦（力）,Friction between the two classmates was caused by a small misunderstanding.（2024 上海中考模拟）,40+
628,athlete,/ˈæθliːt/,,n. 运动员,He is a great athlete and won many medals in the sports competitions.（2023 上海中考）,40+
629,counter,/ˈkaʊntə(r)/,,n. 计算器；柜台,He put the cup on the counter and sat down to have a rest.（2021 上海中考模拟）,40+
630,plastic,/ˈplæstɪk/,,n. 塑料adj. 塑料的,We should reduce the use of plastic bags to protect the environment.（2022 上海中考）,40+
631,shallow,/ˈʃæləʊ/,,adj. 浅的；浅薄的,The river is very shallow here and we can walk across it safely.（2023 上海中考模拟）,40+
632,mistaken,/mɪˈsteɪkən/,,adj. 误解的,It is mistaken to judge a person only by what he or she wears.（2024 上海中考）,40+
633,reserve,/rɪˈzɜːv/,,v. 保留；预订,We need to reserve some seats for the old people on the bus.（2021 上海中考）,40+
634,pray,/preɪ/,,v. 祈祷,People often pray for peace and happiness during the Spring Festival.（2022 上海中考模拟）,40+
635,special,/ˈspeʃ(ə)l/,,adj. 特殊的；专门的,She received a special gift from her parents on her birthday.（2023 上海中考）,40+
636,tradition,/trəˈdɪʃ(ə)n/,,n. 传统，风俗，惯例,It is a traditional custom to set off fireworks on New Year's Eve.（2024 上海中考）,40+
637,advocate,/ˈædvəkeɪt/,,v. 支持；拥护；提倡,We should advocate the idea of saving water in our daily life.（2021 上海中考）,40+
638,progress,/ˈprəʊɡres/,,n. 进步,We can see great progress in his English after he studied hard for a month.（2022 上海中考）,40+
639,supply,/səˈplaɪ/,,v. 供给；提供,The shop can supply us with all the school things we need.（2023 上海中考模拟）,40+
640,affect,/əˈfekt/,,v. 影响,Cold weather can affect our health if we don't wear enough clothes.（2024 上海中考）,40+
641,clumsy,/ˈklʌmzi/,,adj. 笨拙的,He felt a little clumsy when he learned to ride a bike for the first time.（2021 上海中考模拟）,40+
642,burden,/ˈbɜːdn/,,v. 使负重n. 重担,Don't put too much burden on yourself when you face study pressure.（2022 上海中考）,40+
643,digital,/ˈdɪdʒɪt(ə)l/,,adj. 数字的；数码的,We can store a lot of information in the digital computer.（2023 上海中考）,40+
644,application,/ˌæplɪˈkeɪʃ(ə)n,,/n.申请;应用;应用程序,You need to hand in your application form before the deadline tomorrow.（2024 上海中考）,40+
645,company,/ˈkʌmpəni/,,v. 陪伴n. 公司,He works in a big company in the downtown area of Shanghai.（2021 上海中考）,40+
646,event,/ɪˈvent/,,n. 事件,A big sports event will be held in our city next year.（2022 上海中考）,40+
647,frost,/frɒst/,,n. 下霜；严寒期,Frost covers the grass in the morning when the temperature is very low.（2023 上海中考模拟）,40+
648,astronomy,/əˈstrɒnəmi/,,n. 天文学,We learned some basic knowledge of astronomy in our science class.（2024 上海中考模拟）,40+
649,count,/kaʊnt/,,v. 算算；重要,Let's count the number of students who take part in the English club.（2021 上海中考）,40+
650,platform,/ˈplætfɔːm/,,n. 平台；站台,The speaker stood on the platform and gave a wonderful speech.（2022 上海中考）,40+
651,shame,/ʃeɪm/,,n. 羞愧；遗憾的事,He felt a deep shame because he cheated in the English exam.（2023 上海中考）,40+
652,modest,/ˈmɒdɪst/,,adj. 谦虚的,She is a modest girl and never shows off her good grades.（2024 上海中考）,40+
653,resign,/rɪˈzaɪn/,,v. 辞职,He decided to resign from his job and travel around the world.（2024 上海中考模拟）,40+
654,program,/ˈprəʊɡræm/,,n. 节目；规划v. 编程,We will watch a new program on TV about animals this evening.（2021 上海中考模拟）,40+
655,specific,/spəˈsɪfɪk/,,adj. 具体的；特定的,You need to give a specific reason for being late for school this time.（2022 上海中考）,40+
656,transform,/trænsˈfɔːm,,/v. 转变，变革；变换,Education can transform a person's life and make it better.（2023 上海中考）,40+
657,affection,/əˈfekʃn/,,n. 喜爱,She has a deep affection for her hometown and misses it very much.（2024 上海中考模拟）,40+
658,precious,/ˈpreʃəs/,,adj. 珍贵的,Time is precious and we should cherish it every single day.（2021 上海中考）,40+
659,superior,/suːˈpɪəriə(r)/,,adj. 上级的；较高的,This kind of computer is far superior to the old one in function.（2024 上海中考模拟）,40+
660,afford,/əˈfɔːd/,,v. 支付得起,We can't afford to waste time on playing mobile games every day.（2022 上海中考）,40+
661,coach,/kəʊtʃ/,,n. 教练；长途公共汽车,His father is a basketball coach and trains many young players.（2023 上海中考）,40+
662,burglar,/ˈbɜːɡlə(r)/,,n. 窃贼,The burglar was caught by the police when he stole things in the shop.（2024 上海中考模拟）,40+
663,digest,/daɪˈdʒest/,,v. 消化,It is important to digest food well to keep our stomach healthy.（2021 上海中考模拟）,40+
664,appointment,/əˈpɔɪntmənt/,,n. 约会；约定,I have an appointment with my teacher at three o'clock this afternoon.（2022 上海中考）,40+
665,compare,/kəmˈpeə(r)/,,v. 比较,We can compare the two books and find out their different features.（2023 上海中考）,40+
666,evidence,/ˈevɪdəns/,,n. 证据,You need to provide enough evidence to prove that you are right.（2024 上海中考）,40+
667,function,/ˈfʌŋkʃ(ə)n/,,n. 功能；作用,This machine can function well only if you operate it in the right way.（2021 上海中考）,40+
